date,d_gross_reserves_usd_m,d_exports_usd_m,d_imports_usd_m,d_remittances_usd_m,d_usd_lkr,d_trade_balance_usd_m,d_m2_usd_m,split,regime_init_high_vol,regime_threshold
2009-02-01,228.0,33.125974994898456,-76.30221192927854,-16.673754476076397,0.3340999999999923,109.42818692417706,110.92383482495097,train,0,622.3001610473664
2009-03-01,228.0,107.75310841746739,417.2450798624337,39.9431660336017,0.1810000000000116,-309.49197144496634,157.78397426015,train,0,622.3001610473664
2009-04-01,228.0,-194.37901677339966,-402.910672030372,-15.021393038620204,3.0231999999999886,208.53165525697233,-138.20200766070047,train,0,622.3001610473664
2009-05-01,228.0,100.83056418381267,152.7196746709344,9.2457361116696,-0.6347999999999985,-51.88911048712174,205.66607407037918,train,0,622.3001610473664
2009-06-01,228.0,26.757644661456197,71.73346407314227,4.979307416282438,-1.8614999999999924,-44.975819411686075,369.48822339689104,train,0,622.3001610473664
2009-07-01,228.0,87.02654559672658,94.18007785009252,19.643158737526846,-0.010300000000000864,-7.153532253365938,268.67364894123057,train,0,622.3001610473664
2009-08-01,228.0,58.125611204837696,-97.19170140446852,-8.469857030056403,-0.08540000000000703,155.3173126093062,217.07911825878364,train,0,622.3001610473664
2009-09-01,228.0,-142.1299870229326,-38.46197751253521,-5.014861129096801,0.05190000000000339,-103.66800951039738,219.05246219524633,train,0,622.3001610473664
2009-10-01,228.0,60.428028761971404,239.33189469463332,5.757087325567852,0.017099999999999227,-178.90386593266192,-1.8483465542285558,train,0,622.3001610473664
2009-11-01,229.0,-15.670921241568067,-108.24012198854666,-30.81593121786858,-0.2985000000000042,92.5692007469786,344.66959938617765,train,0,622.3001610473664
2009-12-01,228.0,110.38829141873612,157.65576886950112,33.354405920816646,-0.20169999999998822,-47.267477450765,370.9046337724776,train,0,622.3001610473664
2010-01-01,153.0,-66.90120192007475,145.27918318366665,18.186338916231307,0.07529999999999859,-212.1803851037414,122.21608285542243,train,0,622.3001610473664
2010-02-01,154.0,26.55642910298002,-264.21224289875136,-3.043344888457284,0.1490000000000009,290.7686720017314,101.48592386898963,train,0,622.3001610473664
2010-03-01,153.0,72.90734649508784,3.0227859047117818,63.14891536114425,-0.4040000000000106,69.88456059037603,360.1992348846561,train,0,622.3001610473664
2010-04-01,154.0,-260.4305275276888,25.503691750896223,-33.509941641514786,-0.27530000000000143,-285.93421927858503,54.5395568373624,train,0,622.3001610473664
2010-05-01,153.0,63.14444051851842,48.594993909579216,-36.68453443953433,-0.12609999999999388,14.549446608939263,182.6774328265019,train,0,622.3001610473664
2010-06-01,153.0,65.84313006862101,63.051843914710616,40.8539042321305,-0.1419999999999959,2.7912861539103915,155.1450360078452,train,0,622.3001610473664
2010-07-01,154.0,254.7850905597884,9.93118319892551,-0.8717406306687394,-0.6034000000000077,244.8539073608629,192.7609526567212,train,0,622.3001610473664
2010-08-01,153.0,-76.1844211233041,-20.02595146543331,-10.519327881998436,-0.560299999999998,-56.158469657870825,324.13441589841204,train,0,622.3001610473664
2010-09-01,154.0,-89.50774046050412,-13.206390646056661,13.237889201988366,-0.09390000000000498,-76.30134981444746,366.7081112569176,train,0,622.3001610473664
2010-10-01,153.0,218.86249663626245,147.84397660303716,30.301157761241086,-0.6358999999999924,71.01852003322529,296.4313246456659,train,0,622.3001610473664
2010-11-01,154.0,-140.02194252879974,-125.16516050874634,-10.176918160308617,-0.15149999999999864,-14.856782020053402,211.45491742993727,train,0,622.3001610473664
2010-12-01,153.0,-61.57588682242147,315.7290835311064,3.8125293737131756,-0.5074000000000041,-377.3049703535279,517.5317808358395,train,0,622.3001610473664
2011-01-01,-38.0,192.13369960032276,139.18761162169858,7.339985334634775,-0.1881000000000057,52.94608797862418,199.4746659024804,train,0,622.3001610473664
2011-02-01,-38.0,-106.03398130982077,-332.0442195309379,16.235385737155127,-0.012599999999991951,226.0102382211171,282.1681247688248,train,0,622.3001610473664
2011-03-01,-38.0,113.81973886518279,398.2621938349414,110.18243175308794,-0.5052000000000021,-284.4424549697586,409.8487353983546,train,0,622.3001610473664
2011-04-01,-38.0,-182.13933757016343,-143.79924106136468,-88.59940204014714,-0.08929999999999438,-38.34009650879875,340.0739543689597,train,0,622.3001610473664
2011-05-01,-38.0,87.491687349372,192.89975564157066,-0.3531397345706182,-0.45000000000000284,-105.40806829219866,266.22050635117193,train,0,622.3001610473664
2011-06-01,-38.0,-15.716582829527624,-14.578386685758915,-10.947309185554502,-0.2237999999999971,-1.1381961437687096,359.511565718738,train,0,622.3001610473664
2011-07-01,-38.0,141.7113982005443,101.16246853508619,11.860701667493458,-0.08210000000001116,40.548929665458104,319.6126974753279,train,0,622.3001610473664
2011-08-01,-38.0,-7.969436996071636,67.2392828742295,43.14604960602196,0.2569000000000017,-75.20871987030137,261.7093672277042,train,0,622.3001610473664
2011-09-01,-38.0,-95.77817824842498,-74.41151175635537,-56.931173559512274,0.33899999999999864,-21.36666649206927,230.34556731173507,train,0,622.3001610473664
2011-10-01,-38.0,30.760306736625466,-5.650150795810305,18.933950176141195,0.03460000000001173,36.41045753243566,225.94775967153691,train,0,622.3001610473664
2011-11-01,-38.0,-3.3744420142097624,229.41942095863715,15.454115299235127,1.1329999999999956,-232.7938629728469,11.558373425672471,train,0,622.3001610473664
2011-12-01,-38.0,47.621598548569295,-110.59523114548006,70.16881637335405,2.586200000000005,158.21682969404878,27.416811763338046,train,0,622.3001610473664
2012-01-01,31.0,-45.20519839678934,39.19127889560741,-33.41193870518248,0.01279999999999859,-84.39647729239618,212.05587295513033,train,0,622.3001610473664
2012-02-01,30.0,-67.16846034868365,-334.33359332339705,-2.4042822128326975,3.461500000000001,267.1651329747134,-116.72172674957983,train,0,622.3001610473664
2012-03-01,31.0,39.94503297622555,272.9026746186189,94.3102139295782,8.379499999999993,-232.95764164239336,-889.5951528803416,train,0,622.3001610473664
2012-04-01,31.0,-113.1456871056439,-413.17498380812117,-89.5023502183131,2.7643000000000058,300.02929670247727,-145.98257279878453,train,0,622.3001610473664
2012-05-01,30.0,58.151072124785856,134.62839334894034,31.944404474469593,0.5797000000000025,-76.47732122415448,-98.74690161649414,train,0,622.3001610473664
2012-06-01,31.0,-50.149048159900985,-156.00732047406677,-54.775161276600784,2.8473999999999933,105.85827231416579,-166.29764540323958,train,0,622.3001610473664
