model,split,horizon,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n
ARIMA,test,1,2006.5987454935955,2195.4195042359966,34.1742546536922,42.67625216981536,4.805257216427116,4013.197490987191,1708.2157604473525,-13.995831556148712,0.15384615384615385,0.15384615384615385,13
ARIMA,test,3,2315.8329036785244,2368.221164322314,38.64512640295042,48.27277954300134,5.545788761919721,4631.665807357049,1812.7982686701216,-11.137726170696796,0.0,0.18181818181818182,11
ARIMA,test,6,1916.4607036287314,1944.0726419759264,31.269887034555744,37.22300732106673,4.589401167917925,3832.9214072574628,1287.3238401864214,-9.245134296142734,0.125,1.0,8
ARIMA,test,12,1718.2787607739747,1721.1615850410135,28.27934821333344,32.95643023110456,4.1148094174710215,3436.5575215479494,1032.365316688692,-8.87066650769476,1.0,1.0,2
ARIMA,validation,1,1221.4970032665476,1601.8875165567574,31.534208110154626,24.79408838449879,2.925152476534033,1244.1025270458003,983.7978357176484,-11.231861213570312,0.38461538461538464,0.5769230769230769,26
ARIMA,validation,3,1668.3147627033422,2091.103251103415,45.40722524392138,33.66660118880514,3.9951592568050445,1668.3147627033422,1316.7552872079998,-11.151650562878464,0.3333333333333333,0.6666666666666666,24
ARIMA,validation,6,2390.021425854636,2755.3547903936615,68.6825491387234,47.63279819878995,5.723450056866425,2390.021425854636,1887.3705878550888,-11.443600523990643,0.19047619047619047,0.5238095238095238,21
ARIMA,validation,12,4268.09561299496,4540.9575474728235,153.23601881311717,79.71467718149432,10.220925977754433,4268.09561299496,3493.634570612162,-13.539013471598215,0.0,0.2,15
BVAR,test,1,502.65636503623784,562.3518154713911,8.085617010330088,8.50833495935139,1.203725025193939,1005.3127300724757,328.2726536985725,-7.777758899625862,0.75,1.0,8
BVAR,test,3,605.8095058388111,629.3381680808911,9.701629094727755,10.230343052858041,1.4507486891685508,1211.6190116776222,386.02632203702507,-8.03224096966715,1.0,1.0,6
BVAR,test,6,500.14829974228604,500.81715221994835,8.21017825928946,8.562552929374919,1.1977188922388087,1000.2965994845721,380.1981147152018,-8.16453306771573,1.0,1.0,3
BVAR,test,12,,,,,,,,,,,0
BVAR,validation,1,1365.6404475922052,1641.6338730005596,24.97909831394148,20.871177874617807,3.270336747979466,1365.6404475922052,1094.9595334279325,-10.837152337682681,0.2727272727272727,0.5454545454545454,11
BVAR,validation,3,1802.7545328428887,2109.7367079355113,36.58678787070891,28.78336804120423,4.317105872733456,1802.7545328428887,1414.7795760838803,-10.348866841503048,0.36363636363636365,0.45454545454545453,11
BVAR,validation,6,2807.2991731581874,2990.937042496226,67.12317637044055,47.13390501229166,6.722716557450032,2807.2991731581874,2187.1112616199794,-11.216619290020457,0.09090909090909091,0.36363636363636365,11
BVAR,validation,12,4646.7382216470305,4726.48856339329,169.3974757113636,86.22955596835158,11.127671848974733,4646.7382216470305,3820.649842686515,-13.407347734742048,0.0,0.0,11
BoPIdentity,test,1,1111.7506494532013,1278.3258117272642,18.60978692447997,21.143206900018527,2.6623398639863147,2223.5012989064026,,,,,13
BoPIdentity,test,3,1248.6777103170125,1337.7502834275804,20.722497946832252,23.47703746711627,2.990242863436328,2497.355420634025,,,,,11
BoPIdentity,test,6,1062.5721195405645,1225.2101241356452,17.351812100477847,19.643578202576716,2.5445706855261516,2125.144239081129,,,,,8
BoPIdentity,test,12,1252.7784722842457,1577.1880242054624,20.647488431382442,24.653048146579128,3.0000630709293064,2358.2470763494407,,,,,2
BoPIdentity,validation,1,1156.5398208772071,1442.440068126372,34.84977763482889,25.88566388885713,2.769597724924553,1207.4239626568956,,,,,26
BoPIdentity,validation,3,1603.9170937191636,1959.030970212146,45.57393883108822,33.447728707902,3.840944387338858,1650.761263543465,,,,,24
BoPIdentity,validation,6,2306.9947055136604,2866.0429483530465,62.752895670334695,44.17922105249675,5.524623685639621,2393.2382630175453,,,,,21
BoPIdentity,validation,12,4795.071179039153,5647.572332338041,167.2260393654157,81.32411356579972,11.482888862611977,4964.493414128296,,,,,15
LSTM,test,1,894.913953201264,966.7363153965033,15.313656720367563,16.77551657926174,2.1430750623956363,1789.827906402528,,,,,13
LSTM,test,3,1328.9814219383427,1350.7053408964007,22.353607836322187,25.265224923150004,3.1825483707735,2657.9628438766854,,,,,11
LSTM,test,6,1693.1175692537208,1754.6368238518296,27.59875025649645,32.36592154111284,4.054555219964851,3386.2351385074417,,,,,8
LSTM,test,12,1940.4957694949976,1943.7577928130631,31.942985830678477,38.04514482486169,4.646958601341301,3880.991538989995,,,,,2
LSTM,validation,1,1376.875756620902,1689.7782187118687,44.34070743466506,30.948417276294826,3.297242251588586,1479.954600189092,,,,,26
LSTM,validation,3,2116.799705524038,2358.2508487426667,70.17564230264641,45.35243571906469,5.069158486988919,2250.1742943230433,,,,,24
LSTM,validation,6,2576.270636607944,2906.065221865725,90.49077685008136,53.90912215456216,6.1694661654861065,2626.515060059063,,,,,21
LSTM,validation,12,3606.151966719653,3809.8378235678842,135.82892139411777,73.62551607176792,8.63575131825864,3606.151966719653,,,,,15
LocalLevelSV,test,1,1783.0460773806376,1930.1684659627858,30.502149184066006,36.91484995744201,4.269909492267605,3565.312854690152,1474.7189344092683,-12.109592671462536,0.15384615384615385,0.23076923076923078,13
LocalLevelSV,test,3,2142.925372388338,2169.9708253869812,35.86561448939767,43.82665269130373,5.131722340133743,4285.850744776676,1648.6044835679893,-10.681002732312061,0.0,0.18181818181818182,11
LocalLevelSV,test,6,2303.4140087519745,2316.814613880412,37.656145601886166,46.451354385054685,5.516048892601117,4606.828017503949,1663.4110085771806,-9.918494195840468,0.0,0.625,8
LocalLevelSV,test,12,2278.7890087519745,2278.8131991036053,37.50765646419626,46.165553408024,5.457078727678877,4557.578017503949,1484.2900016228914,-9.303962162088865,0.0,1.0,2
LocalLevelSV,validation,1,1320.7502850817266,1628.9164095568192,41.54304838087916,29.297898126945913,3.162837040908234,1335.844823806094,1075.0928507641274,-11.254281531876678,0.34615384615384615,0.5769230769230769,26
LocalLevelSV,validation,3,1836.6354440740677,2099.4926783124133,59.91002147869605,40.249187422908385,4.398241422906792,1836.6354440740677,1455.5563137007193,-10.895596152648496,0.3333333333333333,0.4166666666666667,24
LocalLevelSV,validation,6,2346.2742030948048,2539.2004451039325,75.3415526252196,49.95194819061222,5.618687379057806,2346.2742030948048,1818.088761499839,-10.651311537223602,0.14285714285714285,0.38095238095238093,21
LocalLevelSV,validation,12,3807.749575190273,3933.705427003563,137.13463196101,76.1097359027468,9.118522657119216,3807.749575190273,2995.0329812689065,-11.839004667761602,0.0,0.2,15
MS-VAR,test,1,792.7037784101315,1581.485000238929,15.579682727969498,21.52250835830277,1.8983095450691756,1295.1018438779222,650.6037454277347,-10.223473110631925,0.9230769230769231,0.9230769230769231,13
